subject,relation,object
重力,解释,等值线图
重力测量,测量,重力位
密度,校正,地形校正
密度,产生,重力高
地幔,产生,引力场
重力,产生,离心力
引力,影响,中间层校正
重力测量,测量,重力异常
剩余异常,产生,重力
重力,影响,地形校正
密度,产生,重力测量
重力测量,包含,非金属矿
重力异常,测量,密度
梯度,测量,重力位
梯度,测量,重力
局部异常,产生,重力异常
重力异常,产生,引力场
盆地,产生,重力低
重力异常,测量,地壳
地壳,校正,密度
局部异常,用于,矿体
地形校正,校正,重力异常
重力异常,影响,均衡异常
布格校正,校正,重力异常
莫霍面,校正,重力异常
重力,产生,地层
重力仪,测量,重力测量
重力异常,反映,断裂
布格异常,解释,梯度
引力,影响,重力
重力测量,产生,地形校正
重力,反映,断层
梯度,影响,重力
重力异常,影响,矿体
重力仪,解释,重力测量
区域异常,影响,重力
局部异常,解释,梯度
重力异常,包含,区域异常
密度,产生,重力
重力异常,用于,均衡异常
重力,测量,重力仪
岩浆,产生,地层
重力异常,包含,沉积岩
重力异常,用于,局部异常
地层,校正,重力
重力,测量,均衡异常
梯度,解释,重力
密度,延拓,重力异常
密度,产生,重力异常
重力,反映,密度
重力,反映,矿体
重力,反映,地台区
沉积岩,产生,重力异常
重力异常,解释,延拓
重力,反映,地壳
梯度,用于,重力
地幔,影响,地壳
重力,校正,梯度
断裂,产生,重力梯级带
引力,产生,引力场
重力,测量,密度
重力,产生,重力测量
重力仪,校正,密度
重力,测量,矿体
密度,测量,重力测量
重力异常,测量,地形校正
盆地,解释,重力异常
重力异常,测量,断裂
密度,解释,盆地
地壳,影响,重力异常
重力,包含,盆地
重力异常,校正,均衡异常
岩浆,产生,岩体
延拓,影响,梯度
重力测量,校正,中间层校正
重力,影响,均衡异常
地形校正,影响,中间层校正
岩体,测量,地层
重力,产生,中间层校正
重力异常,产生,地层
重力,包含,等值线图
重力异常,解释,等值线图
引力,产生,重力异常
重力异常,校正,密度
延拓,延拓,局部异常
密度,正演,矿体
局部异常,解释,剩余异常
重力,校正,地形校正
高次导数法,用于,局部异常
重力仪,包含,密度
重力,解释,局部异常
断层,影响,重力
重力测量,测量,梯度
地壳,影响,莫霍面
重力低,反映,密度
矿体,产生,重力
重力,测量,高度校正
重力,用于,均衡异常
